2026-02-01 22:03:24.268 [INFO] [EVT] Session Started
2026-02-01 22:03:24.268 [INFO] [EVT] Client Connected: ('127.0.0.1', 59106)
2026-02-01 22:03:24.268 [INFO] [CMD ] Inquiry                   | CDB: 12 00 00 00 24 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:26.662 [LOG ] [RES ] FA_Response               | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:26.770 [LOG ] [CMD ] Generic10_Wrapper         | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:26.770 [LOG ] [RES ] FA_Response               | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:26.876 [LOG ] [CMD ] GetMag                    | CDB: C8 50 00 00 04 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:26.877 [LOG ] [RES ] GetMag                    | CDB: C8 50 00 00 04 00    | DATA: 00 00 00 00 04 00 00 00 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:26.920 [LOG ] [CMD ] GetEsitfExt               | CDB: CE 03 00 00 04 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:26.921 [LOG ] [RES ] GetEsitfExt               | CDB: CE 03 00 00 04 00    | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:27.006 [LOG ] [CMD ] GetOLWobb                 | CDB: C8 37 00 00 04 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:27.007 [LOG ] [RES ] GetOLWobb                 | CDB: C8 37 00 00 04 00    | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:27.090 [INFO] [CMD ] LegacyPassthrough_C3      | CDB: C3 00 00 00 02 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:27.092 [INFO] [RES ] LegacyPassthrough_C3      | CDB: C3 00 00 00 02 00    | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:27.177 [INFO] [CMD ] LegacyPassthrough_C3      | CDB: C3 00 00 00 02 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:27.178 [INFO] [RES ] LegacyPassthrough_C3      | CDB: C3 00 00 00 02 00    | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:27.262 [INFO] [CMD ] LegacyPassthrough_C3      | CDB: C3 00 00 00 02 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:27.263 [INFO] [RES ] LegacyPassthrough_C3      | CDB: C3 00 00 00 02 00    | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:27.347 [INFO] [CMD ] LegacyPassthrough_C3      | CDB: C3 00 00 00 02 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:27.348 [INFO] [RES ] LegacyPassthrough_C3      | CDB: C3 00 00 00 02 00    | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:27.432 [LOG ] [CMD ] Generic10_Wrapper         | CDB: FA 00 00 00 00 00 00 00 06 00 | DATA: [Empty] -> Status=0
